car,overall_position,class_position,team,vehicle,class,group,race,event_duration,season,laps,total_time,gap_first,gap_car_ahead,tyres,status,fl_lap_number,fl_time,fl_kph_average,driver_1,driver_2,driver_3
Krohn Racing #40,22,13,Krohn Racing,Ligier JS P2 - Nissan,LMP2,,LeMans,24,2016,338,24:01:46.760,46 Laps,1 Laps,Michelin,Classified,326.0,3:39.988,223.0,Tracy KROHN,Niclas JÖNSSON,João BARBOSA
Aston Martin Racing #95,23,5,Aston Martin Racing,Aston Martin Vantage,LMGTE Pro,,LeMans,24,2016,338,24:03:29.867,46 Laps,1'43.107,Dunlop,Classified,219.0,3:53.293,210.3,Nicki THIIM,Marco SØRENSEN,Darren TURNER
Aston Martin Racing #97,24,6,Aston Martin Racing,Aston Martin Vantage,LMGTE Pro,,LeMans,24,2016,337,24:03:04.755,47 Laps,1 Laps,Dunlop,Classified,291.0,3:53.809,209.8,Richie STANAWAY,Fernando REES,Jonathan ADAM
Corvette Racing - GM #63,25,7,Corvette Racing - GM,Chevrolet Corvette C7.R,LMGTE Pro,,LeMans,24,2016,336,24:03:42.578,48 Laps,1 Laps,Michelin,Classified,271.0,3:53.398,210.2,Jan MAGNUSSEN,Antonio GARCIA,Ricky TAYLOR
Scuderia Corsa #62,26,1,Scuderia Corsa,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2016,331,24:01:02.654,53 Laps,5 Laps,Michelin,Classified,80.0,3:56.671,207.3,William SWEEDLER,Townsend BELL,Jeffrey SEGAL
AF Corse #83,27,2,AF Corse,Ferrari F458 Italia,LMGTE Am,,LeMans,24,2016,331,24:03:57.551,53 Laps,2'54.897,Michelin,Classified,270.0,3:56.639,207.3,François PERRODO,Emmanuel COLLARD,Rui AGUAS
Abu Dhabi-Proton Racing #88,28,3,Abu Dhabi-Proton Racing,Porsche 911 RSR,LMGTE Am,,LeMans,24,2016,330,24:01:51.085,54 Laps,1 Laps,Michelin,Classified,278.0,3:57.989,206.2,Khaled AL QUBAISI,David HEINEMEIER HANSSON,Patrick LONG
Rebellion Racing #12,29,6,Rebellion Racing,Rebellion R-One - AER,LMP1,,LeMans,24,2016,330,24:02:18.466,54 Laps,27.381,Dunlop,Classified,89.0,3:26.838,237.2,Nicolas PROST,Nick HEIDFELD,Nelson PIQUET JR
Clearwater Racing #61,30,4,Clearwater Racing,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2016,329,24:03:10.252,55 Laps,1 Laps,Michelin,Classified,232.0,3:57.339,206.7,Weng MOK,Keita SAWA,Robert BELL
Dempsey - Proton Racing #77,31,8,Dempsey - Proton Racing,Porsche 911 RSR (2016),LMGTE Pro,,LeMans,24,2016,329,24:04:12.246,55 Laps,1'01.994,Michelin,Classified,91.0,3:54.377,209.3,Richard LIETZ,Michael CHRISTENSEN,Philipp ENG
SO24 ! By Lombard Racing #22,32,14,SO24 ! By Lombard Racing,Ligier JS P2 - Judd,LMP2,,LeMans,24,2016,328,24:01:21.362,56 Laps,1 Laps,Dunlop,Classified,276.0,3:43.769,219.3,Vincent CAPILLAIRE,Erik MARIS,Jonathan COLEMAN
Gulf Racing #86,33,5,Gulf Racing,Porsche 911 RSR,LMGTE Am,,LeMans,24,2016,328,24:03:27.834,56 Laps,2'06.472,Michelin,Classified,138.0,3:58.004,206.1,Michael WAINWRIGHT,Adam CARROLL,Ben BARKER
Murphy Prototypes #48,34,15,Murphy Prototypes,Oreca 03R - Nissan,LMP2,,LeMans,24,2016,323,24:00:48.536,61 Laps,5 Laps,Dunlop,Classified,280.0,3:41.582,221.4,Ben KEATING,Jeroen BLEEKEMOLEN,Marc GOOSSENS
Formula Racing #60,35,6,Formula Racing,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2016,319,24:03:00.107,65 Laps,4 Laps,Michelin,Classified,109.0,3:57.218,206.8,Johnny LAURSEN,Mikkel MAC,Christina NIELSEN
Aston Martin Racing #99,36,7,Aston Martin Racing,Aston Martin V8 Vantage,LMGTE Am,,LeMans,24,2016,318,24:04:40.265,66 Laps,1 Laps,Dunlop,Classified,288.0,3:58.503,205.7,Andrew HOWARD,Liam GRIFFIN,Gary HIRSCH
Larbre Competition #50,37,8,Larbre Competition,Chevrolet Corvette C7-Z06,LMGTE Am,,LeMans,24,2016,316,24:02:55.234,68 Laps,2 Laps,Michelin,Classified,212.0,3:57.739,206.4,Yutaka YAMAGISHI,Pierre RAGUES,Jean-Philippe BELLOC
SRT41 By OAK Racing #84,38,1,SRT41 By OAK Racing,Morgan LMP2 - Nissan,CDNT,,LeMans,24,2016,315,24:04:21.786,69 Laps,1 Laps,Michelin,Classified,199.0,3:46.131,217.0,Frédéric SAUSSET,Christophe TINSEAU,Jean Bernard BOUVET
Team AAI #57,39,9,Team AAI,Chevrolet Corvette C7-Z06,LMGTE Am,,LeMans,24,2016,306,24:01:05.718,78 Laps,9 Laps,Michelin,Classified,193.0,3:57.939,206.2,Johnny O'CONNEL,Oliver BRYANT,Mark PATTERSON
Ford Chip Ganassi Team UK #67,40,9,Ford Chip Ganassi Team UK,Ford GT,LMGTE Pro,,LeMans,24,2016,306,24:03:54.471,78 Laps,2'48.753,Michelin,Classified,216.0,3:52.453,211.1,Marino FRANCHITTI,Andy PRIAULX,Harry TINCKNELL
KCMG #78,41,10,KCMG,Porsche 911 RSR,LMGTE Am,,LeMans,24,2016,300,24:02:46.481,84 Laps,6 Laps,Michelin,Classified,206.0,3:58.417,205.8,Christian RIED,Wolf HENZLER,Joël CAMATHIAS
Extreme Speed Motorsports #31,42,16,Extreme Speed Motorsports,Ligier JS P2 - Nissan,LMP2,,LeMans,24,2016,297,24:02:25.007,87 Laps,3 Laps,Dunlop,Classified,205.0,3:39.156,223.9,Ryan DALZIEL,Luis Felipe DERANI,Chris CUMMING
AF Corse #55,43,11,AF Corse,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2016,289,24:02:13.322,95 Laps,8 Laps,Michelin,Classified,206.0,3:56.634,207.3,Duncan CAMERON,Matt GRIFFIN,Aaron SCOTT
Race Performance #34,44,17,Race Performance,Oreca 03R - Judd,LMP2,,LeMans,24,2016,289,24:04:39.781,95 Laps,2'26.459,Dunlop,Classified,198.0,3:43.647,219.4,Nicolas LEUTWILER,Shinji NAKANO,James WINSLOW
Toyota Gazoo Racing #5,45,7,Toyota Gazoo Racing,Toyota TS050 - Hybrid,LMP1,H,LeMans,24,2016,384,24:08:26.824,7'48.375,-95 Laps,Michelin,Not classified,275.0,3:22.495,242.3,Anthony DAVIDSON,Sébastien BUEMI,Kazuki NAKAJIMA
Pegasus Racing #28,46,18,Pegasus Racing,Morgan - Nissan,LMP2,,LeMans,24,2016,292,22:31:32.877,92 Laps,92 Laps,Michelin,Not classified,186.0,3:41.670,221.3,Inès TAITTINGER,Rémy STRIEBIG,Léo ROUSSEL
Aston Martin Racing #98,47,12,Aston Martin Racing,Aston Martin V8 Vantage,LMGTE Am,,LeMans,24,2016,281,20:59:19.527,103 Laps,11 Laps,Dunlop,Not classified,84.0,3:57.718,206.4,Paul DALLA LANA,Pedro LAMY,Mathias LAUDA
G-Drive Racing #38,48,19,G-Drive Racing,Gibson 015S - Nissan,LMP2,,LeMans,24,2016,222,15:19:54.766,162 Laps,59 Laps,Dunlop,Not classified,150.0,3:40.274,222.7,Simon DOLAN,Jake DENNIS,Giedo VAN DER GARDE
Rebellion Racing #13,49,8,Rebellion Racing,Rebellion R-One - AER,LMP1,,LeMans,24,2016,200,13:26:30.853,184 Laps,22 Laps,Dunlop,Not classified,66.0,3:26.957,237.1,Mathéo TUSCHER,Alexandre IMPERATORI,Dominik KRAIHAMER
Manor #44,50,20,Manor,Oreca 05 - Nissan,LMP2,,LeMans,24,2016,283,20:21:43.277,101 Laps,-83 Laps,Dunlop,Retired,257.0,3:36.259,226.9,Tor GRAVES,Matthew RAO,Roberto MERHI
Thiriet By Tds Racing #46,51,21,Thiriet By Tds Racing,Oreca 05 - Nissan,LMP2,,LeMans,24,2016,241,16:32:51.162,143 Laps,42 Laps,Dunlop,Retired,104.0,3:37.957,225.1,Pierre THIRIET,Mathias BECHE,Ryo HIRAKAWA
Baxi DC Racing Alpine #35,52,22,Baxi DC Racing Alpine,Alpine A460 - Nissan,LMP2,,LeMans,24,2016,234,16:04:45.068,150 Laps,7 Laps,Dunlop,Retired,216.0,3:37.444,225.6,David CHENG,Ho-Pin TUNG,Nelson PANCIATICI
Corvette Racing - GM #64,53,10,Corvette Racing - GM,Chevrolet Corvette C7.R,LMGTE Pro,,LeMans,24,2016,219,15:46:31.096,165 Laps,15 Laps,Michelin,Retired,198.0,3:54.359,209.4,Oliver GAVIN,Tommy MILNER,Jordan TAYLOR
Bykolles Racing Team #4,54,9,Bykolles Racing Team,CLM P1/01 - AER,LMP1,,LeMans,24,2016,206,16:11:39.684,178 Laps,13 Laps,Dunlop,Retired,61.0,3:36.288,226.8,Simon TRUMMER,Oliver WEBB,Pierre KAFFER
AF Corse #51,55,11,AF Corse,Ferrari 488 GTE,LMGTE Pro,,LeMans,24,2016,179,13:45:16.177,205 Laps,27 Laps,Michelin,Retired,67.0,3:52.541,211.0,Gianmaria BRUNI,James CALADO,Alessandro PIER GUIDI
AF Corse #71,56,12,AF Corse,Ferrari 488 GTE,LMGTE Pro,,LeMans,24,2016,143,10:35:29.729,241 Laps,36 Laps,Michelin,Retired,98.0,3:53.434,210.2,Davide RIGON,Sam BIRD,Andrea BERTOLINI
Porsche Motorsport #92,57,13,Porsche Motorsport,Porsche 911 RSR (2016),LMGTE Pro,,LeMans,24,2016,140,11:32:34.506,244 Laps,3 Laps,Michelin,Retired,107.0,3:53.500,210.1,Frédéric MAKOWIECKI,Earl BAMBER,Jörg BERGMEISTER
Porsche Motorsport #91,58,14,Porsche Motorsport,Porsche 911 RSR (2016),LMGTE Pro,,LeMans,24,2016,135,9:52:00.744,249 Laps,5 Laps,Michelin,Retired,63.0,3:53.754,209.9,Patrick PILET,Kevin ESTRE,Nick TANDY
KCMG #47,59,23,KCMG,Oreca 05 - Nissan,LMP2,,LeMans,24,2016,116,9:27:09.828,268 Laps,19 Laps,Dunlop,Retired,37.0,3:39.650,223.4,Tsugio MATSUDA,Matthew HOWSON,Richard BRADLEY
Proton Competition #89,60,13,Proton Competition,Porsche 911 RSR,LMGTE Am,,LeMans,24,2016,50,3:53:49.528,334 Laps,66 Laps,Michelin,Retired,33.0,4:01.419,203.2,Cooper MACNEIL,Lehman KEEN,Marc MILLER
Porsche Team #1,1,1,Porsche Team,Porsche 919 Hybrid,LMP1,H,Shanghai,6,2016,195,6:00:27.901,,,Michelin,Classified,7.0,1:45.935,185.2,Timo BERNHARD,Mark WEBBER,Brendon HARTLEY
Toyota Gazoo Racing #6,2,2,Toyota Gazoo Racing,Toyota TS050 - Hybrid,LMP1,H,Shanghai,6,2016,195,6:01:27.686,59.785,59.785,Michelin,Classified,6.0,1:46.822,183.7,Stéphane SARRAZIN,Mike CONWAY,Kamui KOBAYASHI
Toyota Gazoo Racing #5,3,3,Toyota Gazoo Racing,Toyota TS050 - Hybrid,LMP1,H,Shanghai,6,2016,195,6:01:33.939,1'06.038,6.253,Michelin,Classified,7.0,1:46.791,183.8,Anthony DAVIDSON,Sébastien BUEMI,Kazuki NAKAJIMA
Porsche Team #2,4,4,Porsche Team,Porsche 919 Hybrid,LMP1,H,Shanghai,6,2016,195,6:02:08.756,1'40.855,34.817,Michelin,Classified,7.0,1:46.847,183.7,Romain DUMAS,Neel JANI,Marc LIEB
Audi Sport Team Joest #8,5,5,Audi Sport Team Joest,Audi R18,LMP1,H,Shanghai,6,2016,192,6:00:53.327,3 Laps,3 Laps,Michelin,Classified,7.0,1:46.185,184.8,Lucas DI GRASSI,Loïc DUVAL,Oliver JARVIS
Audi Sport Team Joest #7,6,6,Audi Sport Team Joest,Audi R18,LMP1,H,Shanghai,6,2016,181,6:01:31.997,14 Laps,11 Laps,Michelin,Classified,91.0,1:46.857,183.6,Marcel FÄSSLER,André LOTTERER,Benoît TRÉLUYER
Bykolles Racing Team #4,7,7,Bykolles Racing Team,CLM P1/01 - AER,LMP1,,Shanghai,6,2016,181,6:01:41.377,14 Laps,9.380,Dunlop,Classified,5.0,1:53.065,173.6,Simon TRUMMER,Oliver WEBB,Pierre KAFFER
G-Drive Racing #26,8,1,G-Drive Racing,Oreca 05 - Nissan,LMP2,,Shanghai,6,2016,180,6:02:05.593,15 Laps,1 Laps,Dunlop,Classified,157.0,1:55.763,169.5,Roman RUSINOV,Will STEVENS,Alex BRUNDLE
Extreme Speed Motorsports #30,9,2,Extreme Speed Motorsports,LIGIER JS P2 - Nissan,LMP2,,Shanghai,6,2016,179,6:01:25.266,16 Laps,1 Laps,Dunlop,Classified,8.0,1:56.324,168.7,Antonio GIOVINAZZI,Tom BLOMQVIST,Sean GELAEL
RGR Sport by Morand #43,10,3,RGR Sport by Morand,LIGIER JS P2 - Nissan,LMP2,,Shanghai,6,2016,179,6:01:51.424,16 Laps,26.158,Dunlop,Classified,84.0,1:55.739,169.6,Ricardo GONZALEZ,Filipe ALBUQUERQUE,Bruno SENNA
Signatech Alpine #36,11,4,Signatech Alpine,Alpine A460 - Nissan,LMP2,,Shanghai,6,2016,179,6:01:51.933,16 Laps,0.509,Dunlop,Classified,6.0,1:56.375,168.6,Gustavo MENEZES,Nicolas LAPIERRE,Stéphane RICHELMI
Extreme Speed Motorsports #31,12,5,Extreme Speed Motorsports,LIGIER JS P2 - Nissan,LMP2,,Shanghai,6,2016,179,6:02:23.055,16 Laps,31.122,Dunlop,Classified,122.0,1:56.224,168.8,Ryan DALZIEL,Luis Felipe DERANI,Christopher CUMMING
SMP Racing #27,13,6,SMP Racing,BR01 - Nissan,LMP2,,Shanghai,6,2016,177,6:01:19.094,18 Laps,2 Laps,Dunlop,Classified,7.0,1:57.036,167.7,Nicolas MINASSIAN,Maurizio MEDIANI,Mikhail ALESHIN
SMP Racing #37,14,7,SMP Racing,BR01 - Nissan,LMP2,,Shanghai,6,2016,177,6:02:01.807,18 Laps,42.713,Dunlop,Classified,9.0,1:57.419,167.1,Vitaly PETROV,Kirill LADYGIN,Victor SHAITAR
Baxi DC Racing Alpine #35,15,8,Baxi DC Racing Alpine,Alpine A460 - Nissan,LMP2,,Shanghai,6,2016,176,6:00:52.108,19 Laps,1 Laps,Dunlop,Classified,9.0,1:57.211,167.4,David CHENG,Ho-Pin TUNG,Paul Loup CHATIN
Manor #44,16,9,Manor,Oreca 05 - Nissan,LMP2,,Shanghai,6,2016,174,6:01:46.943,21 Laps,2 Laps,Dunlop,Classified,132.0,1:55.490,169.9,Matthew RAO,Richard BRADLEY,Alex LYNN
Ford Chip Ganassi Team UK #67,17,1,Ford Chip Ganassi Team UK,Ford GT,LMGTE Pro,,Shanghai,6,2016,170,6:00:54.799,25 Laps,4 Laps,Michelin,Classified,5.0,2:02.217,160.6,Andy PRIAULX,Harry TINCKNELL,
Ford Chip Ganassi Team UK #66,18,2,Ford Chip Ganassi Team UK,Ford GT,LMGTE Pro,,Shanghai,6,2016,170,6:01:45.451,25 Laps,50.652,Michelin,Classified,4.0,2:02.759,159.9,Stefan MÜCKE,Olivier PLA,
AF Corse #51,19,3,AF Corse,Ferrari 488 GTE,LMGTE Pro,,Shanghai,6,2016,170,6:02:08.166,25 Laps,22.715,Michelin,Classified,5.0,2:02.764,159.8,Gianmaria BRUNI,James CALADO,
Aston Martin Racing #95,20,4,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Shanghai,6,2016,170,6:02:33.649,25 Laps,25.483,Dunlop,Classified,31.0,2:03.510,158.9,Nicki THIIM,Marco SØRENSEN,
AF Corse #71,21,5,AF Corse,Ferrari 488 GTE,LMGTE Pro,,Shanghai,6,2016,168,6:01:02.117,27 Laps,2 Laps,Michelin,Classified,4.0,2:03.563,158.8,Davide RIGON,Sam BIRD,
Dempsey - Proton Racing #77,22,6,Dempsey - Proton Racing,Porsche 911 RSR (2016),LMGTE Pro,,Shanghai,6,2016,168,6:01:18.158,27 Laps,16.041,Michelin,Classified,4.0,2:04.098,158.1,Richard LIETZ,Michael CHRISTENSEN,
Aston Martin Racing #98,23,1,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,Shanghai,6,2016,166,6:01:09.426,29 Laps,2 Laps,Michelin,Classified,4.0,2:04.734,157.3,Paul DALLA LANA,Pedro LAMY,Mathias LAUDA
Rebellion Racing #13,24,8,Rebellion Racing,Rebellion R-One - AER,LMP1,,Shanghai,6,2016,166,6:01:50.096,29 Laps,40.670,Dunlop,Classified,6.0,1:50.973,176.8,Mathéo TUSCHER,Dominik KRAIHAMER,Alexandre IMPERATORI
AF Corse #83,25,2,AF Corse,Ferrari F458 Italia,LMGTE Am,,Shanghai,6,2016,166,6:02:03.449,29 Laps,13.353,Michelin,Classified,5.0,2:04.953,157.0,François PERRODO,Emmanuel COLLARD,Rui AGUAS
KCMG #78,26,3,KCMG,Porsche 911 RSR,LMGTE Am,,Shanghai,6,2016,166,6:02:11.263,29 Laps,7.814,Michelin,Classified,5.0,2:05.251,156.7,Christian RIED,Wolf HENZLER,Joël CAMATHIAS
Abu Dhabi-Proton Racing #88,27,4,Abu Dhabi-Proton Racing,Porsche 911 RSR,LMGTE Am,,Shanghai,6,2016,166,6:02:22.849,29 Laps,11.586,Michelin,Classified,6.0,2:05.247,156.7,Khaled AL QUBAISI,David HEINEMEIER HANSSON,Patrick LONG
Larbre Competition #50,28,5,Larbre Competition,Chevrolet Corvette C7-Z06,LMGTE Am,,Shanghai,6,2016,164,6:01:45.312,31 Laps,2 Laps,Michelin,Classified,5.0,2:05.732,156.1,Pierre RAGUES,Ricky TAYLOR,Romain BRANDELA
Gulf Racing #86,29,6,Gulf Racing,Porsche 911 RSR,LMGTE Am,,Shanghai,6,2016,164,6:02:29.774,31 Laps,44.462,Michelin,Classified,4.0,2:05.555,156.3,Michael WAINWRIGHT,Adam CARROLL,Ben BARKER
Aston Martin Racing #97,30,7,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Shanghai,6,2016,1,3:37.142,194 Laps,163 Laps,Dunlop,Not classified,,,,Richie STANAWAY,Darren TURNER,
Manor #45,31,10,Manor,Oreca 05 - Nissan,LMP2,,Shanghai,6,2016,0,,195 Laps,1 Laps,Dunlop,Not classified,,,,Tor GRAVES,Roberto GONZALEZ,Mathias BECHE
Porsche Team #1,1,1,Porsche Team,Porsche 919 Hybrid,LMP1,H,Mexico,6,2016,230,6:00:43.702,,,Michelin,Classified,114.0,1:25.880,180.4,Timo BERNHARD,Mark WEBBER,Brendon HARTLEY
Audi Sport Team Joest #7,2,2,Audi Sport Team Joest,Audi R18,LMP1,H,Mexico,6,2016,230,6:01:45.144,1'01.442,1'01.442,Michelin,Classified,57.0,1:26.083,180.0,Marcel FÄSSLER,André LOTTERER,
Toyota Gazoo Racing #6,3,3,Toyota Gazoo Racing,Toyota TS050 - Hybrid,LMP1,H,Mexico,6,2016,230,6:01:53.411,1'09.709,8.267,Michelin,Classified,182.0,1:26.567,179.0,Stéphane SARRAZIN,Mike CONWAY,Kamui KOBAYASHI
Porsche Team #2,4,4,Porsche Team,Porsche 919 Hybrid,LMP1,H,Mexico,6,2016,230,6:02:13.706,1'30.004,20.295,Michelin,Classified,63.0,1:26.531,179.1,Romain DUMAS,Neel JANI,Marc LIEB
Rebellion Racing #13,5,5,Rebellion Racing,Rebellion R-One - AER,LMP1,,Mexico,6,2016,218,6:01:44.598,12 Laps,12 Laps,Dunlop,Classified,183.0,1:30.710,170.8,Mathéo TUSCHER,Dominik KRAIHAMER,Alexandre IMPERATORI
RGR Sport by Morand #43,6,1,RGR Sport by Morand,LIGIER JS P2 - Nissan,LMP2,,Mexico,6,2016,210,6:01:12.588,20 Laps,8 Laps,Dunlop,Classified,28.0,1:35.702,161.9,Ricardo GONZALEZ,Filipe ALBUQUERQUE,Bruno SENNA
Signatech Alpine #36,7,2,Signatech Alpine,Alpine A460 - Nissan,LMP2,,Mexico,6,2016,210,6:01:14.573,20 Laps,1.985,Dunlop,Classified,173.0,1:36.026,161.4,Gustavo MENEZES,Nicolas LAPIERRE,Stéphane RICHELMI
Extreme Speed Motorsports #31,8,3,Extreme Speed Motorsports,LIGIER JS P2 - Nissan,LMP2,,Mexico,6,2016,207,6:01:19.980,23 Laps,3 Laps,Michelin,Classified,172.0,1:36.335,160.8,Ryan DALZIEL,Luis Felipe DERANI,Christopher CUMMING
Strakka Racing #42,9,4,Strakka Racing,Gibson 015S - Nissan,LMP2,,Mexico,6,2016,207,6:02:06.005,23 Laps,46.025,Dunlop,Classified,175.0,1:36.995,159.7,Nick LEVENTIS,Lewis WILLIAMSON,Jonny KANE
Greaves Motorsport #41,10,5,Greaves Motorsport,Gibson 015S - Nissan,LMP2,,Mexico,6,2016,207,6:02:38.532,23 Laps,32.527,Dunlop,Classified,176.0,1:37.027,159.7,Roberto GONZALEZ,Bruno JUNQUEIRA,Luis DIAZ
Baxi DC Racing Alpine #35,11,6,Baxi DC Racing Alpine,Alpine A460 - Nissan,LMP2,,Mexico,6,2016,206,6:01:19.643,24 Laps,1 Laps,Dunlop,Classified,64.0,1:36.248,161.0,David CHENG,Ho-Pin TUNG,Nelson PANCIATICI
SMP Racing #27,12,7,SMP Racing,BR01 - Nissan,LMP2,,Mexico,6,2016,206,6:01:22.453,24 Laps,2.810,Dunlop,Classified,167.0,1:37.372,159.1,Nicolas MINASSIAN,Maurizio MEDIANI,
G-Drive Racing #26,13,8,G-Drive Racing,Oreca 05 - Nissan,LMP2,,Mexico,6,2016,205,6:01:25.864,25 Laps,1 Laps,Dunlop,Classified,24.0,1:35.925,161.5,Roman RUSINOV,René RAST,Alex BRUNDLE
Extreme Speed Motorsports #30,14,9,Extreme Speed Motorsports,LIGIER JS P2 - Nissan,LMP2,,Mexico,6,2016,204,6:00:54.134,26 Laps,1 Laps,Michelin,Classified,80.0,1:37.813,158.4,Scott SHARP,Ed BROWN,Johannes VAN OVERBEEK
Aston Martin Racing #97,15,1,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Mexico,6,2016,202,6:01:30.739,28 Laps,2 Laps,Dunlop,Classified,78.0,1:40.633,154.0,Richie STANAWAY,Darren TURNER,
AF Corse #51,16,2,AF Corse,Ferrari 488 GTE,LMGTE Pro,,Mexico,6,2016,202,6:01:40.176,28 Laps,9.437,Michelin,Classified,148.0,1:41.025,153.4,Gianmaria BRUNI,James CALADO,
Aston Martin Racing #95,17,3,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Mexico,6,2016,202,6:01:48.981,28 Laps,8.805,Dunlop,Classified,77.0,1:40.478,154.2,Nicki THIIM,Marco SØRENSEN,
AF Corse #71,18,4,AF Corse,Ferrari 488 GTE,LMGTE Pro,,Mexico,6,2016,201,6:00:44.919,29 Laps,1 Laps,Michelin,Classified,180.0,1:41.487,152.7,Davide RIGON,Sam BIRD,
Ford Chip Ganassi Team UK #67,19,5,Ford Chip Ganassi Team UK,Ford GT,LMGTE Pro,,Mexico,6,2016,201,6:01:45.701,29 Laps,1'00.782,Michelin,Classified,166.0,1:41.234,153.1,Marino FRANCHITTI,Andy PRIAULX,Harry TINCKNELL
Dempsey - Proton Racing #77,20,6,Dempsey - Proton Racing,Porsche 911 RSR (2016),LMGTE Pro,,Mexico,6,2016,201,6:02:05.757,29 Laps,20.056,Michelin,Classified,171.0,1:41.661,152.4,Richard LIETZ,Michael CHRISTENSEN,
Bykolles Racing Team #4,21,6,Bykolles Racing Team,CLM P1/01 - AER,LMP1,,Mexico,6,2016,199,6:01:06.959,31 Laps,2 Laps,Dunlop,Classified,2.0,1:32.118,168.2,Simon TRUMMER,Oliver WEBB,Pierre KAFFER
Abu Dhabi-Proton Racing #88,22,1,Abu Dhabi-Proton Racing,Porsche 911 RSR,LMGTE Am,,Mexico,6,2016,197,6:01:39.852,33 Laps,2 Laps,Michelin,Classified,178.0,1:42.328,151.4,Khaled AL QUBAISI,David HEINEMEIER HANSSON,Patrick LONG
AF Corse #83,23,2,AF Corse,Ferrari F458 Italia,LMGTE Am,,Mexico,6,2016,196,6:00:52.159,34 Laps,1 Laps,Michelin,Classified,175.0,1:42.795,150.7,François PERRODO,Emmanuel COLLARD,Rui AGUAS
KCMG #78,24,3,KCMG,Porsche 911 RSR,LMGTE Am,,Mexico,6,2016,196,6:01:09.914,34 Laps,17.755,Michelin,Classified,105.0,1:42.474,151.2,Christian RIED,Wolf HENZLER,Joël CAMATHIAS
Gulf Racing #86,25,4,Gulf Racing,Porsche 911 RSR,LMGTE Am,,Mexico,6,2016,196,6:01:43.768,34 Laps,33.854,Michelin,Classified,3.0,1:42.204,151.6,Michael WAINWRIGHT,Adam CARROLL,Ben BARKER
Ford Chip Ganassi Team UK #66,26,7,Ford Chip Ganassi Team UK,Ford GT,LMGTE Pro,,Mexico,6,2016,181,6:00:45.547,49 Laps,15 Laps,Michelin,Classified,114.0,1:41.598,152.5,Stefan MÜCKE,Olivier PLA,
Audi Sport Team Joest #8,27,7,Audi Sport Team Joest,Audi R18,LMP1,H,Mexico,6,2016,167,6:04:22.532,63 Laps,14 Laps,Michelin,Classified,41.0,1:25.954,180.3,Lucas DI GRASSI,Loïc DUVAL,Oliver JARVIS
Aston Martin Racing #98,28,5,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,Mexico,6,2016,192,6:00:54.881,38 Laps,-25 Laps,Michelin,Not classified,65.0,1:42.301,151.5,Paul DALLA LANA,Pedro LAMY,Mathias LAUDA
Larbre Competition #50,29,6,Larbre Competition,Chevrolet Corvette C7-Z06,LMGTE Am,,Mexico,6,2016,184,5:51:11.518,46 Laps,8 Laps,Michelin,Not classified,64.0,1:43.308,150.0,Yutaka YAMAGISHI,Pierre RAGUES,Ricky TAYLOR
Manor #44,30,10,Manor,Oreca 05 - Nissan,LMP2,,Mexico,6,2016,179,5:36:24.354,51 Laps,5 Laps,Dunlop,Not classified,149.0,1:36.141,161.2,Matthew RAO,Richard BRADLEY,Alfonso Diaz GUERRA
Toyota Gazoo Racing #5,31,8,Toyota Gazoo Racing,Toyota TS050 - Hybrid,LMP1,H,Mexico,6,2016,62,1:37:13.023,168 Laps,117 Laps,Michelin,Not classified,33.0,1:26.767,178.6,Sébastien BUEMI,Kazuki NAKAJIMA,
SMP Racing #37,32,11,SMP Racing,BR01 - Nissan,LMP2,,Mexico,6,2016,29,47:49.011,201 Laps,33 Laps,Dunlop,Not classified,23.0,1:37.603,158.7,Vitaly PETROV,Kirill LADYGIN,Victor SHAITAR
Toyota Gazoo Racing #8,1,1,Toyota Gazoo Racing,Toyota TS050 - Hybrid,LMP1,H,Silverstone,6,2017,197,6:00:33.211,,,Michelin,Classified,3.0,1:39.804,212.9,Sébastien BUEMI,Anthony DAVIDSON,Kazuki NAKAJIMA
Porsche LMP Team #2,2,2,Porsche LMP Team,Porsche 919 Hybrid,LMP1,H,Silverstone,6,2017,197,6:00:39.384,6.173,6.173,Michelin,Classified,5.0,1:40.705,210.9,Timo BERNHARD,Earl BAMBER,Brendon HARTLEY
Porsche LMP Team #1,3,3,Porsche LMP Team,Porsche 919 Hybrid,LMP1,H,Silverstone,6,2017,197,6:01:20.167,46.956,40.783,Michelin,Classified,143.0,1:40.676,211.0,Neel JANI,André LOTTERER,Nick TANDY
Jackie Chan DC Racing #38,4,1,Jackie Chan DC Racing,Oreca 07 - Gibson,LMP2,,Silverstone,6,2017,184,6:01:34.465,13 Laps,13 Laps,Dunlop,Classified,153.0,1:46.256,199.9,Ho-Pin TUNG,Oliver JARVIS,Thomas LAURENT
