car,overall_position,class_position,team,vehicle,class,group,race,event_duration,season,laps,total_time,gap_first,gap_car_ahead,tyres,status,fl_lap_number,fl_time,fl_kph_average,driver_1,driver_2,driver_3
Porsche GT Team #91,28,1,Porsche GT Team,Porsche 911 RSR - 19,LMGTE Pro,,LeMans,24,2022,350,24:04:52.108,30 Laps,7 Laps,Michelin,Classified,269.0,3:49.060,214.2,Gianmaria BRUNI,Richard LIETZ,Frédéric MAKOWIECKI
AF Corse #51,29,2,AF Corse,Ferrari 488 GTE Evo,LMGTE Pro,,LeMans,24,2022,350,24:05:34.792,30 Laps,42.684,Michelin,Classified,279.0,3:49.109,214.1,Alessandro PIER GUIDI,James CALADO,Daniel SERRA
AF Corse #52,30,3,AF Corse,Ferrari 488 GTE Evo,LMGTE Pro,,LeMans,24,2022,349,24:05:36.840,31 Laps,1 Laps,Michelin,Classified,277.0,3:49.196,214.0,Miguel MOLINA,Antonio FUOCO,Davide RIGON
Porsche GT Team #92,31,4,Porsche GT Team,Porsche 911 RSR - 19,LMGTE Pro,,LeMans,24,2022,348,24:04:02.137,32 Laps,1 Laps,Michelin,Classified,276.0,3:48.356,214.8,Michael CHRISTENSEN,Kevin ESTRE,Laurens VANTHOOR
Riley Motorsports #74,32,5,Riley Motorsports,Ferrari 488 GTE Evo,LMGTE Pro,,LeMans,24,2022,347,24:04:12.735,33 Laps,1 Laps,Michelin,Classified,259.0,3:49.391,213.8,Felipe FRAGA,Sam BIRD,Shane VAN GISBERGEN
Graff Racing #39,33,23,Graff Racing,Oreca 07 - Gibson,LMP2,P/A,LeMans,24,2022,344,24:04:41.286,36 Laps,3 Laps,Goodyear,Classified,333.0,3:33.267,230.0,Eric TROUILLET,Sébastien PAGE,David DROUX
TF Sport #33,34,1,TF Sport,Aston Martin VANTAGE AMR,LMGTE Am,,LeMans,24,2022,343,24:03:37.664,37 Laps,1 Laps,Michelin,Classified,277.0,3:53.266,210.3,Ben KEATING,Henrique CHAVES,Marco SØRENSEN
WeatherTech Racing #79,35,2,WeatherTech Racing,Porsche 911 RSR - 19,LMGTE Am,,LeMans,24,2022,343,24:04:22.110,37 Laps,44.446,Michelin,Classified,272.0,3:50.445,212.9,Cooper MACNEIL,Julien ANDLAUER,Thomas MERRILL
Northwest AMR #98,36,3,Northwest AMR,Aston Martin VANTAGE AMR,LMGTE Am,,LeMans,24,2022,342,24:05:22.088,38 Laps,1 Laps,Michelin,Classified,322.0,3:52.908,210.6,Paul DALLA LANA,David PITTARD,Nicki THIIM
GR Racing #86,37,4,GR Racing,Porsche 911 RSR - 19,LMGTE Am,,LeMans,24,2022,340,24:04:24.064,40 Laps,2 Laps,Michelin,Classified,109.0,3:50.848,212.5,Michael WAINWRIGHT,Riccardo PERA,Benjamin BARKER
Dempsey - Proton Racing #88,38,5,Dempsey - Proton Racing,Porsche 911 RSR - 19,LMGTE Am,,LeMans,24,2022,340,24:04:51.138,40 Laps,27.074,Michelin,Classified,319.0,3:51.067,212.3,Fred POORDAD,Maxwell ROOT,Jan HEYLEN
AF Corse #54,39,6,AF Corse,Ferrari 488 GTE Evo,LMGTE Am,,LeMans,24,2022,340,24:05:00.725,40 Laps,9.587,Michelin,Classified,312.0,3:52.722,210.8,Thomas FLOHR,Francesco CASTELLACCI,Nicholas CASSIDY
Iron Dames #85,40,7,Iron Dames,Ferrari 488 GTE Evo,LMGTE Am,,LeMans,24,2022,339,24:02:10.199,41 Laps,1 Laps,Michelin,Classified,303.0,3:54.044,209.6,Rahel FREY,Michelle GATTING,Sarah BOVY
AF Corse #21,41,8,AF Corse,Ferrari 488 GTE Evo,LMGTE Am,,LeMans,24,2022,339,24:03:17.392,41 Laps,1'07.193,Michelin,Classified,273.0,3:53.254,210.3,Simon MANN,Christoph ULRICH,Toni VILANDER
AF Corse #61,42,9,AF Corse,Ferrari 488 GTE Evo,LMGTE Am,,LeMans,24,2022,339,24:03:29.454,41 Laps,12.062,Michelin,Classified,272.0,3:52.742,210.8,Louis PRETTE,Conrad GRUNEWALD,Vincent ABRIL
Spirit of Race #55,43,10,Spirit of Race,Ferrari 488 GTE Evo,LMGTE Am,,LeMans,24,2022,339,24:04:17.500,41 Laps,48.046,Michelin,Classified,161.0,3:53.722,209.9,Duncan CAMERON,Matthew GRIFFIN,David PEREL
Hardpoint Motorsport #99,44,11,Hardpoint Motorsport,Porsche 911 RSR - 19,LMGTE Am,,LeMans,24,2022,338,24:04:54.909,42 Laps,1 Laps,Michelin,Classified,334.0,3:51.332,212.0,Andrew HARYANTO,Alessio PICARIELLO,Martin RUMP
Kessel Racing #57,45,12,Kessel Racing,Ferrari 488 GTE Evo,LMGTE Am,,LeMans,24,2022,336,24:02:53.572,44 Laps,2 Laps,Michelin,Classified,259.0,3:53.398,210.2,Takeshi KIMURA,Frederik SCHANDORFF,Mikkel JENSEN
Iron Lynx #80,46,13,Iron Lynx,Ferrari 488 GTE Evo,LMGTE Am,,LeMans,24,2022,336,24:04:38.387,44 Laps,1'44.815,Michelin,Classified,175.0,3:53.640,210.0,Matteo CRESSONI,Giancarlo FISICHELLA,Richard HEISTAND
Dempsey - Proton Racing #77,47,14,Dempsey - Proton Racing,Porsche 911 RSR - 19,LMGTE Am,,LeMans,24,2022,336,24:05:08.645,44 Laps,30.258,Michelin,Classified,185.0,3:51.438,212.0,Christian RIED,Sebastian PRIAULX,Harry TINCKNELL
Ultimate #35,48,24,Ultimate,Oreca 07 - Gibson,LMP2,P/A,LeMans,24,2022,335,24:02:31.404,45 Laps,1 Laps,Goodyear,Classified,173.0,3:35.842,227.3,Jean-Baptiste LAHAYE,Matthieu LAHAYE,François HERIAU
CD Sport #27,49,25,CD Sport,Ligier JSP217 - Gibson,LMP2,P/A,LeMans,24,2022,333,24:03:10.353,47 Laps,2 Laps,Goodyear,Classified,326.0,3:36.478,226.6,Christophe CRESP,Michael JENSEN,Steven PALETTE
JMW Motorsport #66,50,15,JMW Motorsport,Ferrari 488 GTE Evo,LMGTE Am,,LeMans,24,2022,331,24:02:42.326,49 Laps,2 Laps,Michelin,Classified,140.0,3:55.041,208.7,Renger VAN DER ZANDE,Mark KVAMME,Jason HART
Proton Competition #93,51,16,Proton Competition,Porsche 911 RSR - 19,LMGTE Am,,LeMans,24,2022,329,24:04:51.791,51 Laps,2 Laps,Michelin,Classified,49.0,3:51.745,211.7,Michael FASSBENDER,Matt CAMPBELL,Zacharie ROBICHON
Duqueine Team #30,52,26,Duqueine Team,Oreca 07 - Gibson,LMP2,,LeMans,24,2022,326,24:04:20.481,54 Laps,3 Laps,Goodyear,Classified,252.0,3:32.436,230.9,Richard BRADLEY,Guillermo ROJAS,Reshad DE GERUS
Iron Lynx #75,53,17,Iron Lynx,Ferrari 488 GTE Evo,LMGTE Am,,LeMans,24,2022,324,24:03:56.592,56 Laps,2 Laps,Michelin,Classified,269.0,3:54.093,209.5,Pierre EHRET,Christian HOOK,Nicolas VARRONE
Iron Lynx #60,54,18,Iron Lynx,Ferrari 488 GTE Evo,LMGTE Am,,LeMans,24,2022,289,20:49:43.957,91 Laps,35 Laps,Michelin,Not classified,258.0,3:53.765,209.8,Claudio SCHIAVONI,Alessandro BALZAN,Raffaele GIAMMARIA
WRT #31,55,27,WRT,Oreca 07 - Gibson,LMP2,,LeMans,24,2022,285,18:39:24.922,95 Laps,4 Laps,Goodyear,Retired,131.0,3:32.136,231.2,Sean GELAEL,Robin FRIJNS,René RAST
Corvette Racing #64,56,6,Corvette Racing,Chevrolet Corvette C8.R,LMGTE Pro,,LeMans,24,2022,260,17:48:06.898,120 Laps,25 Laps,Michelin,Retired,240.0,3:48.771,214.4,Tommy MILNER,Nick TANDY,Alexander SIMS
Team Project 1 #56,57,19,Team Project 1,Porsche 911 RSR - 19,LMGTE Am,,LeMans,24,2022,241,16:35:42.822,139 Laps,19 Laps,Michelin,Retired,54.0,3:52.046,211.4,Brendan IRIBE,Oliver MILLROY,Ben BARNICOAT
